year,Loss
1925,186.0407906
1926,230.0458652
1927,300.6017677
1928,224.6567526
1929,306.5472316
1930,329.804298
1931,268.3730888
1932,229.7271517
1933,296.6254739
1934,627.7679426
1935,353.9875645
1936,536.9155168
1937,237.6698012
1938,303.5413367
1939,274.2292084
1940,322.5797938
1941,265.6614665
1942,267.0902278
1943,300.3195306
1944,312.0230441
1945,364.4297809
1946,249.8375271
1947,472.3557311
1948,224.3378389
1949,296.4317944
1950,297.7182295
1951,281.3111854
1952,291.591374
1953,328.7104956
1954,362.8400652
1955,330.4519954
1956,310.0635326
1957,315.5144507
1958,274.5961046
1959,318.1217489
1960,331.3089722
1961,298.4507249
1962,275.9549814
1963,268.2558356
1964,290.0800628
1965,251.3249149
1966,300.473662
1967,236.5112577
1968,250.3810246
1969,325.1754597
1970,313.945595
1971,247.4262601
1972,250.0803789
1973,276.3829241
1974,323.667134
1975,291.5811889
1976,324.0426688
1977,400.3374781
1978,297.8138484
1979,240.2891107
1980,350.0571835
1981,268.1015977
1982,254.9899896
1983,480.7006507
1984,312.2084209
1985,244.1130736
1986,250.843804
1987,261.5319763
1988,398.3007601
1989,396.3347354
1990,308.0522706
1991,314.3273807
1992,255.0406412
1993,322.3876201
1994,269.2770698
1995,334.4460366
1996,286.907647
1997,302.2113746
1998,309.9546923
1999,331.2185751
2000,246.9521426
2001,283.9942328
2002,298.2473368
2003,260.9688048
2004,229.0613474
2005,339.7503705
2006,343.2726152
2007,290.8228081
2008,280.6347068
2009,282.9082863
2010,369.847553
2011,348.3250699
2012,472.5879295
2013,326.2088172
2014,258.7546286
2015,325.5421739
2016,278.6319203
2017,283.4465572
2018,279.5442031
1925,307.830761
1926,300.5936297
1927,331.919328
1928,331.4949157
1929,348.132293
1930,435.0491559
1931,320.0545695
1932,338.3747199
1933,345.8450474
1934,338.1835284
1935,369.2307658
1936,401.2254668
1937,335.231845
1938,352.1400669
1939,359.0447819
1940,373.4563653
1941,348.9067252
1942,349.1031706
1943,403.3202286
1944,410.7306132
1945,381.6465308
1946,339.6792918
1947,364.9596594
1948,348.591826
1949,373.9684479
1950,371.0175654
1951,362.9224997
1952,376.8084131
1953,385.4334724
1954,433.4181634
1955,377.0075364
1956,357.8777358
1957,382.469319
1958,380.0232152
1959,382.6815416
1960,378.0332984
1961,336.6347855
1962,332.7046718
1963,337.118765
1964,343.1699704
1965,325.5478994
1966,368.0982437
1967,309.4282435
1968,342.5217735
1969,325.1784788
1970,411.9925122
1971,344.2338967
1972,335.6131688
1973,361.1999681
1974,374.9399653
1975,354.045304
1976,337.7774341
1977,338.9547316
1978,343.8263444
1979,326.3901853
1980,374.2722352
1981,344.7384749
1982,335.6655693
1983,410.2707569
1984,349.1898437
1985,358.470747
1986,338.3815262
1987,326.8643961
1988,386.8237742
1989,347.0034774
1990,369.016913
1991,399.8813281
1992,323.7516058
1993,344.5655692
1994,350.4609212
1995,383.7045715
1996,362.4203848
1997,383.9447478
1998,364.3147748
1999,358.5104909
2000,346.1786851
2001,342.3289063
2002,389.7114385
2003,367.0326395
2004,327.8518822
2005,358.2690078
2006,354.300905
2007,363.6370114
2008,353.1955044
2009,356.5823733
2010,350.0579831
2011,363.3240388
2014,342.8681205
2015,356.5688083
2017,356.4624991
2018,357.5347017
1925,95.54647033
1926,232.4760764
1927,311.3262348
1928,197.410614
1929,259.4859465
1930,311.835462
1931,244.2186043
1932,193.5926842
1933,313.2641366
1934,392.1746372
1935,262.0287498
1936,333.2191692
1937,250.2352013
1938,276.2957162
1939,203.7110706
1940,295.4783589
1941,231.6217409
1942,181.3875724
1943,217.7417058
1944,267.2930431
1945,276.3152352
1946,246.4002902
1947,326.8749881
1948,252.0453959
1949,266.7848486
1950,305.5257331
1951,283.4479912
1952,229.8602569
1953,276.654765
1954,257.40542
1955,320.0193607
1956,232.4769718
1957,250.5177271
1958,283.3502537
1959,266.0048389
1960,278.3234038
1961,234.4103562
1962,219.9878208
1963,267.4423087
1964,239.565664
1965,221.8011848
1966,266.8423882
1967,208.6958185
1968,239.7573551
1969,196.9055692
1970,327.2086935
1971,260.5331613
1972,229.6776608
1973,289.0409201
1974,380.131488
1975,242.8436397
1976,330.3396715
1977,225.1302058
1978,241.7821595
1979,218.6754426
1980,238.1112261
1981,200.5188116
1982,219.3460123
1983,318.9946156
1984,256.5156457
1985,194.2695999
1986,238.291232
1987,277.1038562
1988,473.8016099
1989,258.8961009
1990,276.1195883
1991,310.927506
1992,242.5304517
1993,324.1397808
1994,209.5681915
1995,316.8342129
1996,262.1283883
1997,321.1349099
1998,217.8240861
1999,267.7981238
2000,267.9953101
2001,253.5827944
2002,246.890597
2003,283.2447845
2004,211.8185798
2005,317.4196782
2006,216.0599636
2007,234.3977092
2008,239.5478568
2009,275.3154766
2010,267.7852669
2011,278.4694236
2012,347.6831328
2013,286.9475481
2014,269.8122078
2015,260.53825
2016,240.3500776
2017,229.5015732
2018,240.2710262
1925,174.0733199
1926,176.2312995
1927,239.9837043
1928,206.0220105
1929,207.5527487
1930,277.2918735
1931,216.8365061
1932,206.5325421
1933,344.8059435
1934,395.9731888
1935,212.0423148
1936,323.9826573
1937,200.6926706
1938,233.0253458
1939,195.8129148
1940,326.895403
1941,200.60237
1942,211.7158593
1943,250.3090581
1944,251.7049313
1945,281.7710902
1946,245.6783372
1947,329.2614042
1948,248.9187697
1949,263.115401
1950,286.0611461
1951,287.0043554
1952,275.3964839
1953,276.6348335
1954,270.0627145
1955,286.991207
1956,230.8252202
1957,253.0182801
1958,265.091245
1959,246.7409082
1960,251.8568849
1961,232.273562
1962,211.7443747
1963,208.8411227
1964,238.7261292
1965,193.6196499
1966,240.1661435
1967,189.5741901
1968,286.711988
1969,190.5663774
1970,267.0217931
1971,196.0570136
1972,188.0315573
1973,235.0812193
1974,297.9692317
1975,196.2605947
1976,207.0820594
1977,278.9763815
1978,220.2687882
1979,199.0117984
1980,313.7119601
1981,219.4581334
1982,197.6343297
1983,360.0592148
1984,287.9915597
1985,200.1680983
1986,242.2988893
1987,263.7233724
1988,464.5544808
1989,216.9243148
1990,245.2156189
1991,386.1152161
1992,212.6908183
1993,256.6364085
1994,220.5846421
1995,302.7357939
1996,244.1383703
1997,288.8783577
1998,274.6919791
1999,271.4033148
2000,257.019734
2001,263.6922768
2002,280.0212812
2003,236.1492819
2004,221.7002032
2005,277.2462579
2006,235.5714483
2007,221.8323029
2008,227.9215323
2009,235.2637313
2010,261.9748941
2011,280.4434684
2012,409.7801171
2013,254.9281198
2014,218.3270078
2015,252.649012
2016,221.4571861
2017,230.2368104
2018,236.2330424
1925,178.5109984
1926,195.5283036
1927,197.11354
1928,195.2194612
1929,200.0155085
1930,233.719024
1931,207.5808761
1932,199.2693469
1933,268.8930193
1934,224.5667374
1935,218.0705883
1936,265.6188758
1937,199.9030414
1938,215.6698133
1939,200.9033951
1940,220.0512089
1941,201.8485493
1942,205.0657955
1943,219.266506
1944,239.0204813
1945,223.1326028
1946,214.0541758
1947,244.4738078
1948,207.2260577
1949,213.0224121
1950,218.9868619
1951,212.4764634
1952,218.1324394
1953,218.7526832
1954,229.9910811
1955,221.926258
1956,212.3508631
1957,215.6235588
1958,214.5404869
1959,224.9991385
1960,214.9868556
1961,208.6893731
1962,208.661705
1963,205.8767316
1964,210.7325301
1965,205.3216677
1966,214.140034
1967,201.2171839
1968,215.3412858
1969,203.2522915
1970,229.1259263
1971,202.3875332
1972,204.7558558
1973,205.9867714
1974,223.4286291
1975,200.9345637
1976,205.7607334
1977,208.5413255
1978,215.9008788
1979,207.6558112
1980,246.4120758
1981,208.8709831
1982,208.9610842
1983,233.4261169
1984,210.6270882
1985,203.2425724
1986,202.5524375
1987,209.4505461
1988,258.0193102
1989,214.8408768
1990,213.9235351
1991,213.5118086
1992,206.5754181
1993,214.0970668
1994,201.7674812
1995,231.6326417
1996,208.8158676
1997,223.5502204
1998,218.8345137
1999,215.7948969
2000,214.6002612
2001,220.6661176
2002,220.6743977
2003,207.2331825
2004,208.4891237
2005,227.3514946
2006,216.6832057
2007,207.9256833
2008,211.9767483
2009,212.8285115
2010,226.3548543
2011,219.9684581
2012,259.1299127
2013,212.6115618
2014,202.9845926
2015,223.4484738
2016,208.0949838
2017,210.9193288
2018,204.6465947
1925,166.626285
1926,188.7259039
1927,214.5380172
1928,186.8245701
1929,187.2260897
1930,225.7812069
1931,197.5342513
1932,186.4571796
1933,207.8660739
1934,306.8644945
1935,223.6657084
1936,293.8404701
1937,171.6298269
1938,204.4176161
1939,180.2628693
1940,193.4868435
1941,188.8267345
1942,181.3857081
1943,195.5614503
1944,199.7705026
1945,234.9184981
1946,189.7076402
1947,244.3012704
1948,189.9612658
1949,208.1015472
1950,207.0543475
1951,207.696192
1952,208.3442325
1953,223.9776167
1954,206.6370743
1955,211.8339964
1956,202.4392701
1957,208.778538
1958,196.3291087
1959,203.5371408
1960,223.8616101
1961,194.3675882
1962,193.0853711
1963,197.3916702
1964,200.5665578
1965,184.821484
1966,205.7174482
1967,184.1745548
1968,197.812263
1969,195.7722648
1970,224.1285103
1971,184.1464476
1972,182.7394852
1973,193.2206751
1974,201.4867876
1975,179.7951485
1976,207.055355
1977,228.4931896
1978,205.1325636
1979,182.0937459
1980,210.4867649
1981,194.6601622
1982,186.8029254
1983,242.0856387
1984,206.2368294
1985,194.9201363
1986,190.3192929
1987,205.765685
1988,244.5275872
1989,239.811276
1990,202.5993253
1991,201.4299874
1992,190.0366018
1993,214.7369847
1994,187.9086315
1995,225.6357785
1996,200.1950107
1997,212.9933699
1998,206.4908762
1999,203.5998317
2000,203.2854533
2001,199.4695644
2002,203.3127917
2003,196.859924
2004,188.4147377
2005,210.7172749
2006,204.0604131
2007,195.394607
2008,190.4303749
2009,200.8595078
2010,229.2459419
2011,215.1792079
2012,233.8216086
2013,206.5936238
2014,196.3516335
2015,215.6781862
2016,198.8378545
2017,195.8698528
2018,194.1359688
1925,165.3592052
1926,218.6366257
1927,234.2593338
1928,176.5562939
1929,212.488049
1930,272.1193448
1931,234.8426185
1932,182.8040637
1933,263.5119438
1934,381.7084749
1935,237.1318827
1936,305.2275957
1937,175.1493491
1938,239.689241
1939,179.6207014
1940,235.9762301
1941,184.149589
1942,176.6101304
1943,203.5086437
1944,220.4602395
1945,268.8833826
1946,223.9934218
1947,292.03589
1948,218.3036486
1949,243.4095552
1950,268.7792819
1951,255.7954221
1952,221.9940344
1953,249.8201861
1954,251.4555504
1955,253.1009068
1956,222.3601432
1957,232.3281215
1958,226.7252702
1959,236.435254
1960,242.2332047
1961,218.893144
1962,217.7811084
1963,216.776422
1964,239.601503
1965,199.0801266
1966,208.0245685
1967,189.3339721
1968,228.6961048
1969,180.6682093
1970,327.8165293
1971,197.7104218
1972,206.0607358
1973,208.7257298
1974,291.2829457
1975,185.0312819
1976,238.3852274
1977,206.0905885
1978,219.054258
1979,199.0215952
1980,239.5335967
1981,188.009322
1982,200.1948071
1983,308.0571816
1984,214.936406
1985,210.6752801
1986,215.5821551
1987,227.1967023
1988,408.0428537
1989,281.1603391
1990,259.3484208
1991,254.6661121
1992,222.3755539
1993,252.4399063
1994,189.9991141
1995,276.4165746
1996,232.3293685
1997,276.0044521
1998,217.9194818
1999,265.4126078
2000,245.7345297
2001,216.4355716
2002,231.6538515
2003,214.5165876
2004,200.0835858
2005,295.3180406
2006,222.169557
2007,198.419752
2008,196.3841489
2009,237.9135641
2010,257.7063979
2011,243.7385332
2012,302.6239274
2013,237.6836133
2014,225.8669253
2015,228.6035849
2016,221.884516
2017,209.1266393
2018,214.9498326
1925,187.237788
1926,219.284032
1927,293.2686876
1928,193.0322163
1929,281.8655569
1930,281.8440914
1931,301.4435043
1932,291.6995548
1933,339.442231
1934,511.9941305
1935,319.4334822
1936,403.5759084
1937,310.8236179
1938,286.6570348
1939,241.817957
1940,251.3170169
1941,225.1035582
1942,234.635814
1943,217.2724604
1944,280.2322001
1945,295.6301546
1946,345.7765671
1947,389.6962965
1948,340.029538
1949,258.7949454
1950,335.19457
1951,317.4906952
1952,260.6612926
1953,302.8666155
1954,271.3116388
1955,346.7285071
1956,297.6294027
1957,315.8155576
1958,317.6346378
1959,268.9126846
1960,352.7282023
1961,298.3643293
1962,277.0156244
1963,266.0547624
1964,260.1060796
1965,302.899561
1966,309.6993093
1967,252.416003
1968,239.5688678
1969,270.7210948
1970,327.0753694
1971,292.3403543
1972,249.0655155
1973,293.6956566
1974,402.3365764
1975,276.7758348
1976,316.4431147
1977,293.252809
1978,264.7028885
1979,251.1659211
1980,257.7057207
1981,235.530037
1982,235.9411549
1983,325.7472361
1984,308.329718
1985,267.2476154
1986,249.6266033
1987,282.3287818
1988,476.8930447
1989,251.0421166
1990,279.5225549
1991,441.5266234
1992,302.2155412
1993,387.6848812
1994,226.0767961
1995,346.5644813
1996,323.6661193
1997,291.7106298
1998,266.857076
1999,304.9447925
2000,310.1450223
2001,322.8470011
2002,416.1823877
2003,308.1588854
2004,284.9031157
2005,388.0576516
2006,266.0831397
2007,256.2010635
2008,302.940794
2009,341.9204702
2010,283.6841157
2011,279.6521858
2012,399.0519873
2013,321.2104595
2014,277.0481147
2015,277.0176183
2016,256.8627
2017,304.3717791
2018,283.7814491
1925,116.9822475
1926,143.1252906
1927,200.1836128
1928,157.4149166
1929,181.9101316
1930,261.3083813
1931,187.1358738
1932,183.0903032
1933,338.3066618
1934,270.4410008
1935,197.147107
1936,285.7525898
1937,157.4767237
1938,198.6348519
1939,154.1345144
1940,267.2449944
1941,160.9546337
1942,183.2777623
1943,200.6343487
1944,227.9053738
1945,229.8492876
1946,203.4318899
1947,306.9454151
1948,195.3730559
1949,228.3705574
1950,272.106764
1951,245.5941188
1952,230.1986186
1953,266.6026269
1954,238.3388331
1955,265.0721541
1956,200.9386969
1957,203.5241657
1958,213.0446267
1959,225.9474481
1960,214.4090235
1961,187.8513968
1962,158.1146913
1963,190.3539202
1964,187.2108649
1965,170.2757608
1966,237.549174
1967,165.6183479
1968,220.7339621
1969,156.5779299
1970,245.609652
1971,148.547554
1972,154.0644932
1973,178.3130228
1974,256.1159924
