year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12,tmin6_2,dpt6_2,dpt11_2,tmax12_2,dpt12_2,tmin6_3,dpt6_3,dpt11_3,tmax12_3,dpt12_3,tmin6_dpt6,tmin6_dpt11,tmin6_tmax12,tmin6_dpt12,dpt6_dpt11,dpt6_tmax12,dpt6_dpt12,dpt11_tmax12,dpt11_dpt12,tmax12_dpt12,tmin6_2_dpt6,dpt6_2_tmin6,tmin6_2_dpt11,dpt11_2_tmin6,tmin6_2_tmax12,tmax12_2_tmin6,tmin6_2_dpt12,dpt12_2_tmin6,dpt6_2_dpt11,dpt11_2_dpt6,dpt6_2_tmax12,tmax12_2_dpt6,dpt6_2_dpt12,dpt12_2_dpt6,dpt11_2_tmax12,tmax12_2_dpt11,dpt11_2_dpt12,dpt12_2_dpt11,tmax12_2_dpt12,dpt12_2_tmax12,tmin6_dpt6_dpt11,tmin6_dpt6_tmax12,tmin6_dpt6_dpt12,tmin6_dpt11_tmax12,tmin6_dpt11_dpt12,tmin6_tmax12_dpt12,dpt6_dpt11_tmax12,dpt6_dpt11_dpt12,dpt6_tmax12_dpt12,dpt11_tmax12_dpt12
1942,267.0902278,17.42266167,16.2464046,0.43973755,7.415413646,-1.746871963,303.5491397,263.9456623,0.193369113,54.98835955,3.051561655,5288.633963,4288.168021,0.08503166,407.7614318,-5.330687497,283.0556107,7.661398553,129.1962431,-30.43515919,7.144154149,120.4738103,-28.38038869,3.260835827,-0.768165197,-12.95377819,4931.582139,4598.635974,133.4819549,3.369004627,2250.942433,958.0435843,-530.2614816,53.16632628,116.0668188,3.14155284,1957.266266,893.3631373,-461.0792772,49.57690529,1.433911957,24.18044649,-0.337791081,1.341886245,-96.05762357,22.62859194,124.4701807,2098.974438,-494.4619102,56.81243938,-13.38348233,-225.6892948,52.97685817,-12.47992258,-210.4523216,-5.696262681
1975,291.5811889,17.17940438,15.76027574,0.178151413,3.094400352,-4.401536032,295.1319348,248.3862915,0.031737926,9.575313539,19.37351944,5070.190853,3914.636444,0.005654156,29.62985359,-85.27324389,270.7521501,3.06053517,53.15995496,-75.61576738,2.807715398,48.76860281,-69.36942155,0.551271796,-0.784139865,-13.62011465,4651.360673,4267.128543,52.57817131,0.545238666,913.256363,164.4981833,-1299.033845,332.8255247,44.25036888,0.500198466,768.6066278,150.9095817,-1093.281212,305.3320085,0.09820985,1.70585564,-0.139695625,3.45141987,-42.14608756,59.94942538,48.2348782,837.8155486,-1191.725344,9.470521109,-13.47105583,-233.9854572,8.688195516,-12.35826049,-214.6567625,-2.426442674
1953,328.7104956,19.07476467,17.30982475,-1.487228235,4.918142747,-3.657221056,363.8466471,299.630033,2.211847824,24.18812808,13.37526585,6940.289167,5186.543362,-3.289522535,118.9606667,-48.91630389,330.1808336,-28.36852859,93.81241549,-69.76063097,-25.74366012,85.13218907,-63.30585556,-7.314400758,5.439122416,-17.98673521,6298.121698,5715.372366,-541.1230068,42.19047671,1789.449748,461.3828508,-1330.667619,255.1300484,-445.6182452,38.28669821,1473.623274,418.6922582,-1095.813266,231.5235079,10.87818333,-35.97326704,-8.089216432,-19.89207302,-88.46133131,65.78146673,-491.0542584,1623.876472,-1207.544297,-139.5204731,103.7499801,-343.0927412,-126.6109953,94.15025584,-311.3472344,26.75038046
1969,325.1754597,14.71645268,13.89659459,0.623123163,3.261490394,-6.437183449,216.5739796,193.1153413,0.388282477,10.63731959,41.43733076,3187.200723,2683.645607,0.241947805,34.69351567,-266.7396997,204.5085768,9.170162551,47.99756907,-94.73250565,8.659289983,45.32360978,-89.45492871,2.032310212,-4.011158114,-20.99481199,3009.640794,2841.972782,134.9522633,5.714140697,706.3539541,156.5436105,-1394.126437,609.8105175,120.3346424,5.395804167,629.8438305,147.8225179,-1243.118879,575.8377865,1.266379568,6.628360234,-2.499445533,25.82056063,-68.47437762,135.1474562,127.4340313,667.0027588,-1316.459226,29.90839707,-59.0300186,-308.9691572,28.2421911,-55.74143816,-291.7563907,-13.08235366
1970,313.945595,16.36220917,15.91348831,-0.753817147,1.990706042,-5.592139564,267.7218889,253.2391102,0.568240291,3.962910547,31.27202491,4380.521546,4029.91762,-0.428349274,7.88898997,-174.8775277,260.3798244,-12.33411383,32.57234866,-91.49975726,-11.99586035,31.67907733,-88.99044759,-1.500628349,4.21545069,-11.13230602,4260.38915,4143.551291,-201.8133504,9.297666493,532.955582,64.84197129,-1497.138167,511.6794127,-190.8959835,9.042685221,504.1246268,63.06373066,-1416.148447,497.6470028,1.13119938,-2.987309921,-3.177679011,-23.57338858,-22.16114886,62.25340894,-196.2787762,518.3396897,-1456.080318,-24.55359493,68.97408594,-182.1491196,-23.88023168,67.08252528,-177.1538217,8.391723159
1991,314.3273807,18.62951726,16.37096888,2.370965939,3.654574367,-6.535614235,347.0589132,268.0086222,5.621479485,13.3559138,42.71425343,6465.540013,4387.560814,13.32833639,48.81018022,-279.1638828,304.9832473,44.16995088,68.08295623,-121.7553382,38.81500961,59.82892324,-106.9943373,8.664871346,-15.49571874,-23.88488825,5681.690669,4992.871252,822.8648621,104.7254491,1268.352608,248.8142267,-2268.243174,795.7459214,635.4393146,92.02906572,979.4574407,218.6492493,-1751.600966,699.2737138,20.54411483,31.66641671,-36.73982134,101.27404,-87.28910037,156.1024157,723.1048914,1114.583958,-1993.252853,161.4223703,-288.6777597,-444.9639379,141.8523392,-253.6799294,-391.0187624,-56.63025651
1928,224.6567526,14.40448873,13.65921433,1.090063418,3.520020944,-8.113842171,207.4892955,186.5741362,1.188238255,12.39054745,65.83443478,2988.777217,2548.456116,1.295255054,43.61498653,-534.1702132,196.7539989,15.70180622,50.70410201,-116.8757481,14.88940987,48.08072054,-110.8287093,3.837046062,-8.844602531,-28.56089438,2834.140759,2687.505042,226.1764906,17.11596455,730.3666658,178.479501,-1683.535396,948.3113736,203.3776407,16.23040101,656.7448673,169.2451433,-1513.833095,899.2466553,4.182623546,13.5064825,-9.641177666,71.763709,-100.5349464,231.7385893,214.4743365,692.578197,-1596.430894,55.27068675,-127.4019774,-411.4050811,52.41103458,-120.8103217,-390.119378,-31.13318615
1933,296.6254739,19.17723742,16.02661993,-3.357018497,3.295667265,-6.691741743,367.7664351,256.8525465,11.26957319,10.86142272,44.77940756,7052.744242,4116.478142,-37.83216566,35.79563533,-299.6522308,307.3462955,-64.37834075,63.20179361,-128.3291202,-53.80165957,52.81840669,-107.2460016,-11.06361597,22.46430081,-22.05375421,5894.05288,4925.722267,-1234.598725,216.1192807,1212.035802,208.2920823,-2460.998006,858.7453303,-862.2587498,180.6131664,846.5005296,174.071894,-1718.790907,717.6625458,37.14076347,-36.461997,-75.41307336,-150.3252995,-72.68183584,147.5780277,-1031.767199,1012.911125,-2056.682036,-212.1695902,430.8032302,-422.9300806,-177.3123683,360.0268112,-353.4471369,74.03486083
1939,274.2292084,17.89409085,16.79256335,-0.032456365,4.383298997,-5.092205249,320.1984874,281.9901838,0.001053416,19.2133101,25.9305543,5729.660824,4735.338024,-3.42E-05,84.21768289,-132.0437047,300.4876542,-0.580777142,78.43515049,-91.12038337,-0.545025563,73.60682608,-85.51117923,-0.142265952,0.165274472,-22.32065816,5376.953384,5045.957968,-10.39247894,0.018849915,1403.525709,343.8047165,-1630.516418,464.0036945,-9.152376295,0.017689549,1236.04729,322.640727,-1435.951894,435.4404758,0.004617436,-0.623594203,-0.005364209,-0.841611532,-97.83811855,113.6613727,-9.752736943,1317.127233,-1530.14481,-2.545719863,2.95743641,-399.407885,-2.389010004,2.775382034,-374.8210662,0.724447426
1998,309.9546923,17.03532523,15.77749519,-0.796386272,2.737520712,-3.59956171,290.2023059,248.9293545,0.634231094,7.494019647,12.9568445,4943.690664,3927.481693,-0.505092937,20.515034,-46.63896135,268.774762,-13.56669916,46.63455566,-61.31970443,-12.56498058,43.19121986,-56.79206757,-2.180123914,2.866641531,-9.853874734,4578.665485,4240.592514,-231.1131325,10.80433297,794.4348229,127.663062,-1044.601108,220.7240601,-198.2439206,10.00657804,681.4492637,118.2368589,-896.0365729,204.4265518,1.736220757,-5.96813437,-2.282953963,-10.31865309,-26.97518617,35.46963018,-214.0485307,735.7764777,-967.4713417,-37.13911993,48.83417082,-167.8639609,-34.39689458,45.22842297,-155.4694612,7.847490565
