year,Loss,tmin6
1942,267.0902278,17.42266167
1975,291.5811889,17.17940438
1953,328.7104956,19.07476467
1969,325.1754597,14.71645268
1970,313.945595,16.36220917
1991,314.3273807,18.62951726
1928,224.6567526,14.40448873
1933,296.6254739,19.17723742
1939,274.2292084,17.89409085
1998,309.9546923,17.03532523
1992,255.0406412,14.64522484
1994,269.2770698,17.91005145
1996,286.907647,16.66281066
1997,302.2113746,16.46907597
2000,246.9521426,16.0996979
1962,281.2206442,18.53407462
1933,211.6372542,19.0295218
1935,295.8056846,17.03161071
1972,245.5781552,16.5735238
1979,232.5481101,18.04144731
1970,413.2219952,18.13834443
1983,386.1650553,16.37543706
1968,269.8211022,18.74099893
1969,253.6379929,18.20028328
1974,319.7412988,16.08888537
1955,342.624662,15.73229548
1943,310.2614551,20.68667853
1996,287.0931139,18.37673427
1992,243.5586815,16.80340767
1994,231.1681086,19.55840768
1942,262.6322265,14.54542378
1956,263.6777133,15.27176419
1946,279.8193887,13.49350487
1967,254.311202,14.98972468
1973,274.3410903,15.43447276
1960,291.7758229,13.07603503
1953,259.3072225,14.92631499
1965,267.9282928,12.41912699
1970,328.1343318,15.97337607
1945,336.8605083,15.01033177
1980,303.8395944,15.60254843
1960,325.4919678,15.65784729
1950,305.9978645,15.40665463
1964,312.258961,16.14633871
1929,295.8599813,15.09755184
1932,276.5142538,16.99241143
1931,234.8426185,17.00111134
1933,263.5119438,17.63701404
1929,212.488049,13.39381673
1943,203.5086437,17.6494719
1945,268.8833826,13.54911457
1990,259.3484208,15.49914641
1938,239.689241,14.56774899
1952,221.9940344,17.85273953
1974,291.2829457,13.42320893
1996,232.3293685,15.58755845
1993,252.4399063,14.370728
1999,265.4126078,16.02557677
2017,209.1266393,15.4912073
2004,200.0835858,15.28114767
2011,243.7385332,16.49142012
1969,199.0950595,12.10697636
1926,202.0617775,11.03861528
1975,201.3302471,15.02022281
1971,200.9529949,16.81766362
1973,204.4576856,15.54662365
1944,199.8587399,16.72620579
1987,201.1045705,14.84900049
1950,203.2871396,13.92744467
2001,201.967509,13.63553808
2000,203.7230075,13.69941502
1993,207.888979,13.33506389
2015,201.8203804,14.18542058
2005,203.5721957,16.09838141
2009,201.6227294,14.99197769
1925,197.3937161,17.44109975
1946,229.1517388,16.26841147
1987,235.0323011,17.32913822
1991,239.9893749,17.90276387
1949,244.8949014,17.6605352
1975,221.9784798,16.63436136
1999,243.290854,16.47934863
2003,231.8920517,14.141036
2013,243.2938666,16.78770794
1931,210.5423918,17.0162834
1979,192.592422,15.70459609
1957,255.5365968,16.5443391
1961,254.1281714,14.290812
1960,252.1726149,14.92238769
1926,152.6455313,12.95289718
1958,254.3350267,13.09465705
1965,193.5515428,15.38264722
2010,257.409011,18.27395754
2011,267.7432631,17.26137184
2007,223.7276096,16.52109282
1954,330.910628,18.25069339
1960,228.1972632,15.58566973
1941,185.9759559,17.0001697
1946,200.0670455,16.5408636
1949,224.6473657,17.212965
1942,209.6525961,17.31138984
1940,205.1680487,16.65166937
1985,197.1796148,15.14838112
1947,272.5659751,15.85789228
1996,220.9842822,16.92765401
1995,240.2293869,16.43940294
2015,221.933863,17.56938788
2009,217.3177818,17.80474294
1955,338.9678205,13.80459455
1980,291.2822189,15.34528143
1926,74.96101238,13.53830703
1967,175.2046329,16.32249666
1943,332.7808787,19.14188718
1958,396.4418869,14.14671517
1933,251.4724036,18.10342333
1988,372.1634541,15.71373381
2004,203.9369693,15.94302688
2018,256.0520285,18.811619
1951,391.1475282,16.54775596
1978,367.4851806,16.24966112
1952,451.2561078,19.39609645
1967,309.2361124,17.08588419
1998,415.0444955,18.03475019
2000,365.3130818,16.94550215
2010,387.19754,19.96510485
1973,345.7049807,17.60703558
1983,375.1613586,16.49428803
1976,354.4867333,16.43140392
1951,336.3102146,16.91668561
1977,329.5374474,16.99984219
1965,335.3978218,16.96923783
1929,341.9994447,15.54461058
1963,331.5246119,16.92037212
2010,334.3953532,20.41372714
1948,200.9319446,15.97352155
1959,291.192179,16.0853435
1950,301.0917784,15.60104771
1943,246.0297152,18.83152099
1931,208.8865795,17.30408557
1980,300.1489261,15.33320504
1975,207.8502655,17.14257471
1930,308.4292361,14.64594168
1991,285.6893673,18.36114692
1997,270.3593541,16.87685168
2017,230.602683,16.57484565
2008,255.1314267,17.70274843
2015,251.3401085,17.76315951
2018,200.5041064,18.75285629
1981,323.4551063,18.18838906
1956,348.3828338,16.47593645
1949,384.0201996,18.17823122
1933,386.1054035,18.32667569
1941,342.9529547,17.2492988
1953,422.9622807,19.07747
1945,394.9686839,15.93574484
1998,358.4726494,17.97821415
1960,352.7635358,13.56882137
1936,388.4562687,11.71148638
1941,131.2109885,14.6444857
1988,445.9463766,14.16698024
1948,221.8440737,13.09963725
1931,273.1967149,15.69776707
1981,167.1827553,15.14615108
1985,144.2952323,12.32739778
1989,231.9467386,14.15721049
1929,231.4895679,12.0980802
1963,249.662702,14.14147124
1927,292.5487512,11.83467501
2014,236.3695214,15.49513008
1964,193.1071013,16.34185533
1933,359.6573493,17.66964046
1976,175.8380724,15.4995249
1981,216.9065702,17.00162943
1967,181.4572265,16.56426581
1962,190.5328016,15.89283141
1968,233.0931617,16.38798676
1945,238.4506205,14.60404051
1947,297.9322714,15.18397082
1958,229.9183,13.50290406
1994,184.5296366,16.78888623
2009,214.2137073,16.70280567
2016,204.8233904,17.42554579
1983,374.9101848,16.11199849
1935,248.0414268,14.54791596
1984,269.7158483,18.04292892
1963,139.1016671,15.13902177
1946,208.5523221,16.31288122
1953,271.5540354,18.27463482
1949,252.524045,17.82153626
1973,199.0820454,16.80309018
1937,194.7602561,15.98907398
2009,244.1370079,17.50796046
1983,309.5839431,16.1408062
1945,285.749019,15.08907253
1972,232.4927393,13.61786261
1954,302.9138509,18.05270756
1938,266.9296319,15.53754062
1961,260.4083581,14.62488754
1932,232.2659858,16.52148081
1989,244.5146217,16.48553177
1965,226.6252747,15.7615208
1960,283.0606257,15.21965635
1963,222.7818387,15.25138637
1935,250.3710668,14.7505797
2003,252.0677952,14.38733525
1999,259.0165677,17.46493106
1927,333.6344658,15.68514822
1949,374.0363168,18.57637739
1928,381.3485133,15.1779995
1934,352.7516627,19.3099675
1985,365.9021373,16.79312966
1939,391.1725102,18.29935498
1987,349.0780262,18.18589499
1961,356.383025,15.38031796
1958,380.8035096,15.46813288
1998,381.5775922,18.42194367
2010,376.4568645,20.38011603
2017,367.5778804,17.05837458
1942,347.0406112,17.32782319
1984,380.6359643,18.41915589
1938,305.0338713,15.96804324
1953,337.6655523,18.78082802
1927,238.6896799,14.27255085
1975,280.4728289,16.88763973
1946,301.1059265,16.25482317
1930,370.3079639,14.67551741
2002,370.9010133,18.18026788
1945,274.7641622,14.1493889
1941,224.5437451,16.24603947
1927,243.0670209,13.13601491
1937,228.7951015,15.17484198
1952,286.744367,18.07463194
1984,274.2688349,17.34106086
1992,244.6277219,13.1669673
2006,259.243275,14.90747587
1967,322.5770575,17.4015999
1964,422.378973,17.98717809
1950,401.2072773,17.45546455
1928,387.7152718,15.30177183
1980,486.8149959,16.40064461
1960,382.9015013,16.49984053
1989,359.9016558,16.62237306
1955,447.2251932,14.5885643
1973,421.547208,17.50241439
1945,402.6202311,16.4489818
1981,370.486532,18.61723003
2000,381.6096665,17.24491898
2017,395.092461,17.28658056
2018,401.1631811,20.11018497
1971,237.3546943,18.01470744
1941,244.5436895,16.58949979
1938,254.7409089,15.36423886
1959,267.9799881,16.7867323
1960,297.000448,15.30316546
1975,235.2805789,16.39336141
1981,247.0806227,16.74512526
1970,296.9876471,15.9349055
1987,268.5994316,17.17886608
