year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12
1942,267.0902278,17.42266167,16.2464046,0.43973755,7.415413646,-1.746871963
1975,291.5811889,17.17940438,15.76027574,0.178151413,3.094400352,-4.401536032
1953,328.7104956,19.07476467,17.30982475,-1.487228235,4.918142747,-3.657221056
1969,325.1754597,14.71645268,13.89659459,0.623123163,3.261490394,-6.437183449
1970,313.945595,16.36220917,15.91348831,-0.753817147,1.990706042,-5.592139564
1991,314.3273807,18.62951726,16.37096888,2.370965939,3.654574367,-6.535614235
1928,224.6567526,14.40448873,13.65921433,1.090063418,3.520020944,-8.113842171
1933,296.6254739,19.17723742,16.02661993,-3.357018497,3.295667265,-6.691741743
1939,274.2292084,17.89409085,16.79256335,-0.032456365,4.383298997,-5.092205249
1998,309.9546923,17.03532523,15.77749519,-0.796386272,2.737520712,-3.59956171
1992,255.0406412,14.64522484,11.24389705,-2.064183058,5.720440882,-3.594857523
1994,269.2770698,17.91005145,15.90262432,-2.051547312,3.631442619,-5.055116818
1996,286.907647,16.66281066,16.14934547,-4.42450948,3.085581241,-6.965275391
1997,302.2113746,16.46907597,15.43817519,-3.812269286,3.068920353,-5.533783299
2000,246.9521426,16.0996979,14.9825577,0.479959476,4.934974394,-4.303724466
1962,281.2206442,18.53407462,18.05112938,3.064725663,7.05998509,-2.378233234
1933,211.6372542,19.0295218,16.65522769,-0.933350914,7.49236945,-2.682745389
1935,295.8056846,17.03161071,16.295236,3.864293145,6.779892389,-2.996977237
1972,245.5781552,16.5735238,14.80602255,1.672348425,12.06854612,2.631374922
1979,232.5481101,18.04144731,16.57174625,5.217273698,7.933719427,-1.545798695
1970,413.2219952,18.13834443,17.31024394,0.854115902,5.99500218,-3.37662411
1983,386.1650553,16.37543706,16.07173663,3.605475757,11.20864191,3.237698562
1968,269.8211022,18.74099893,17.25395347,0.046772582,8.829098936,-0.105745443
1969,253.6379929,18.20028328,17.02973528,2.998792524,7.040229233,-3.758947059
1974,319.7412988,16.08888537,15.76304759,6.264916996,6.976402191,-1.337296935
1955,342.624662,15.73229548,14.93128393,1.672229362,8.301640487,-1.571466894
1943,310.2614551,20.68667853,19.10545487,3.522186025,6.603332503,-2.528145492
1996,287.0931139,18.37673427,17.77856999,-0.840641686,6.532492225,-3.363507377
1992,243.5586815,16.80340767,15.3502931,0.29705886,9.262977587,-0.385446816
1994,231.1681086,19.55840768,19.13883501,1.091701578,7.689072324,-1.503180112
1942,262.6322265,14.54542378,13.46548803,-0.687008695,4.140615231,-3.759668286
1956,263.6777133,15.27176419,13.65713943,-4.174472052,-1.053858135,-10.49822714
1946,279.8193887,13.49350487,12.29418677,-1.814010073,-2.844019287,-10.91296148
1967,254.311202,14.98972468,13.39599789,-0.913244645,0.291028168,-7.678565508
1973,274.3410903,15.43447276,14.32012476,-0.919691277,-1.311251114,-8.78071405
1960,291.7758229,13.07603503,11.90267483,-5.373427664,4.012084564,-3.116082884
1953,259.3072225,14.92631499,14.26525791,-2.665414788,1.500467141,-5.351795058
1965,267.9282928,12.41912699,11.56062004,0.540124271,-1.043719242,-8.430392085
1970,328.1343318,15.97337607,15.85002641,-0.737783084,2.072844785,-5.482719545
1945,336.8605083,15.01033177,14.19852507,2.453151337,0.293870126,-8.180048316
1980,303.8395944,15.60254843,14.86445797,-0.316411839,6.737585997,-4.359503779
1960,325.4919678,15.65784729,14.84757512,-3.69233513,6.738192825,-1.259299173
1950,305.9978645,15.40665463,14.79038976,-0.31046581,7.763409364,-4.198662604
1964,312.258961,16.14633871,15.38877191,1.488945,-1.600454979,-12.34284774
1929,295.8599813,15.09755184,13.85704098,1.195789901,6.132083967,-3.844096142
1932,276.5142538,16.99241143,15.80796773,4.716396457,8.310327071,0.089203943
1931,234.8426185,17.00111134,14.8945586,-1.37704314,1.800406163,-6.521671852
1933,263.5119438,17.63701404,14.92638495,-4.347258762,2.034774292,-7.977506559
1929,212.488049,13.39381673,11.89523005,0.121381768,3.598366565,-5.421617678
1943,203.5086437,17.6494719,15.88736835,-0.671747362,-1.021134913,-9.39274555
1945,268.8833826,13.54911457,12.15576775,1.344077212,-1.041179583,-10.01272158
1990,259.3484208,15.49914641,14.37088497,-3.158610976,-4.285360244,-14.24792204
1938,239.689241,14.56774899,13.42906834,-3.833502305,-0.545700719,-8.051633803
1952,221.9940344,17.85273953,16.38035106,-5.421968252,1.342318493,-8.96637935
1974,291.2829457,13.42320893,12.3256523,0.389752892,0.394043621,-6.964031164
1996,232.3293685,15.58755845,15.01248692,-4.825397321,0.852477151,-8.573593455
1993,252.4399063,14.370728,13.75375231,-0.495919049,1.419412681,-5.868779366
1999,265.4126078,16.02557677,14.77470688,0.500660415,5.962832894,-4.281354184
2017,209.1266393,15.4912073,13.15650795,2.741283024,-0.320258096,-7.692987741
2004,200.0835858,15.28114767,13.26276657,0.175664734,3.694259758,-5.259438452
2011,243.7385332,16.49142012,14.71198508,-1.245672603,-2.940115805,-9.808480968
1969,199.0950595,12.10697636,11.59508627,-1.125300974,0.511038149,-8.190715309
1926,202.0617775,11.03861528,10.52344869,-3.857280113,-1.667485503,-10.38705701
1975,201.3302471,15.02022281,14.46725954,-0.51242394,1.132164586,-5.484122832
1971,200.9529949,16.81766362,15.6266182,-1.583678212,1.958621908,-7.409672436
1973,204.4576856,15.54662365,14.35301037,-1.366067931,-0.93797962,-9.300023827
1944,199.8587399,16.72620579,14.76161471,-4.173129285,2.654906152,-8.849981545
1987,201.1045705,14.84900049,14.01256197,-3.957189376,1.23055668,-5.878018594
1950,203.2871396,13.92744467,12.50480888,-2.080429818,3.687988302,-7.014790381
2001,201.967509,13.63553808,12.93518165,-3.247263536,-5.505177233,-14.27942672
2000,203.7230075,13.69941502,13.02968369,-0.471446849,1.789106432,-6.241103678
1993,207.888979,13.33506389,13.17361822,-1.330054927,0.642626648,-6.709920797
2015,201.8203804,14.18542058,13.99392772,-5.432608782,2.432791985,-4.453138405
2005,203.5721957,16.09838141,14.79923571,0.308570493,1.708505927,-7.306150236
2009,201.6227294,14.99197769,13.39562388,-2.079621696,-1.089236066,-10.36094342
1925,197.3937161,17.44109975,15.85425222,-0.399558556,1.292065157,-9.009130838
1946,229.1517388,16.26841147,14.80793274,-0.292323058,-0.322725059,-8.760473061
1987,235.0323011,17.32913822,15.99836105,-1.250245776,3.973254563,-3.630735715
1991,239.9893749,17.90276387,16.7997699,2.772952294,4.139509913,-5.50826895
1949,244.8949014,17.6605352,16.78645299,2.19482113,6.29119323,-3.979705116
1975,221.9784798,16.63436136,16.1096817,1.265685288,3.311205281,-3.110312378
1999,243.290854,16.47934863,16.02781636,1.565853938,7.028463133,-3.316740727
2003,231.8920517,14.141036,13.23832525,-1.251216566,5.703193482,-5.639536712
2013,243.2938666,16.78770794,15.69188851,-0.651058006,7.344047376,-1.397323438
1931,210.5423918,17.0162834,15.44667487,0.056218329,3.305858112,-4.757976082
1979,192.592422,15.70459609,12.74986056,1.973929143,3.577619815,-5.011942724
1957,255.5365968,16.5443391,16.17437107,-0.209649216,5.480776703,-1.323276301
1961,254.1281714,14.290812,13.37776102,1.161443578,0.717251318,-8.13835138
1960,252.1726149,14.92238769,14.35585408,-2.847768303,5.883430164,-1.071115511
1926,152.6455313,12.95289718,12.22884003,-1.467478415,1.611497831,-7.144870177
1958,254.3350267,13.09465705,13.66548582,0.508121826,6.42247643,-2.47168517
1965,193.5515428,15.38264722,14.24514038,1.725882792,2.057775456,-5.001224559
2010,257.409011,18.27395754,18.46611053,2.629066122,2.116838983,-5.367280295
2011,267.7432631,17.26137184,16.14839984,-0.386858646,-1.857066909,-8.003732497
2007,223.7276096,16.52109282,14.05693899,1.044538463,5.978406041,-2.192659459
1954,330.910628,18.25069339,16.44991257,-0.696043627,6.694436741,-4.610213597
1960,228.1972632,15.58566973,15.00249972,-2.805092434,6.927274347,-0.64619596
1941,185.9759559,17.0001697,15.61116922,-1.042480017,7.030453235,-1.831671218
1946,200.0670455,16.5408636,15.0265854,0.633260661,0.549714598,-7.912010728
1949,224.6473657,17.212965,16.89299899,2.810038289,6.898811474,-3.106871486
1942,209.6525961,17.31138984,16.35198087,0.949640971,7.506933804,-0.865229553
1940,205.1680487,16.65166937,15.28212571,-0.57845968,7.43619006,-2.560283431
1985,197.1796148,15.14838112,13.9852507,-0.072309212,8.015917879,-1.000425365
1947,272.5659751,15.85789228,15.19172563,2.16454974,8.263271644,-2.184446946
1996,220.9842822,16.92765401,16.5063014,-2.66280632,2.720965454,-6.088958938
1995,240.2293869,16.43940294,15.85911969,3.352195614,7.282570009,-0.979701516
2015,221.933863,17.56938788,17.38439892,-3.055775045,4.521078047,-1.335140604
2009,217.3177818,17.80474294,16.60037279,-0.472722144,3.448385842,-5.699625747
1955,338.9678205,13.80459455,13.3290155,1.162032294,5.128250885,-3.068392711
1980,291.2822189,15.34528143,14.77794959,1.036330596,7.302566716,-3.36358169
1926,74.96101238,13.53830703,12.88772114,-0.645592769,4.184206202,-6.166603886
1967,175.2046329,16.32249666,16.15340406,1.902083518,5.224022743,-4.105389901
1943,332.7808787,19.14188718,17.90103517,2.246404794,2.959262202,-5.454772386
1958,396.4418869,14.14671517,14.59745788,1.257835487,8.178069676,-1.473719447
1933,251.4724036,18.10342333,15.70329272,-1.891942819,5.573757856,-4.633734805
1988,372.1634541,15.71373381,11.66933428,1.661610627,5.854533191,-1.690302655
2004,203.9369693,15.94302688,15.014357,4.149535693,5.926011897,-2.667661756
2018,256.0520285,18.811619,19.11894511,1.34780245,4.882837772,-5.521681788
1951,391.1475282,16.54775596,16.07610035,-2.181817908,2.290581779,-7.982395094
1978,367.4851806,16.24966112,15.15846231,2.992378156,3.84810805,-5.209524066
1952,451.2561078,19.39609645,17.72443969,-2.645912844,5.865927981,-4.098021378
1967,309.2361124,17.08588419,16.44326291,2.213112352,6.103595656,-3.734378754
1998,415.0444955,18.03475019,17.26367021,0.657661693,5.210520182,-2.189012382
2000,365.3130818,16.94550215,16.26107891,3.042900098,7.414440424,-2.47177916
2010,387.19754,19.96510485,19.60064037,3.596277949,4.100755564,-4.072995241
1973,345.7049807,17.60703558,17.43047126,1.40920368,3.50092585,-4.254865627
1983,375.1613586,16.49428803,15.53161982,2.01369023,9.59830798,1.025857462
1976,354.4867333,16.43140392,14.94754034,3.81997451,6.235373133,-2.204264164
1951,336.3102146,16.91668561,16.28729515,-2.444380687,2.849973226,-7.700769264
1977,329.5374474,16.99984219,15.59760458,-4.917251592,4.539771862,-7.521485677
1965,335.3978218,16.96923783,15.84099095,2.077903441,4.729005696,-4.202060744
1929,341.9994447,15.54461058,14.70276111,1.576057708,7.97485771,-2.915384327
1963,331.5246119,16.92037212,15.85292437,0.176076577,5.590815901,-6.923651614
2010,334.3953532,20.41372714,19.6481753,3.278475471,4.120852219,-4.935737125
1948,200.9319446,15.97352155,14.61195134,-0.48469536,5.729553584,-3.747843708
1959,291.192179,16.0853435,15.01957598,1.679073872,1.540950517,-8.186026605
1950,301.0917784,15.60104771,15.23849764,0.088866094,7.914380424,-3.082743487
1943,246.0297152,18.83152099,17.69531803,2.057615384,2.35477945,-5.797078752
1931,208.8865795,17.30408557,15.81504526,0.587344881,4.312074953,-4.142077901
1980,300.1489261,15.33320504,14.45658719,0.754564508,7.003676393,-3.35225315
1975,207.8502655,17.14257471,16.32279194,2.058912057,4.44119313,-2.112714631
1930,308.4292361,14.64594168,13.70538149,-1.116309772,3.947402816,-4.458954658
1991,285.6893673,18.36114692,16.89255993,3.683609972,5.256475064,-3.379097892
1997,270.3593541,16.87685168,15.81440428,-2.428811903,4.905391563,-3.072748262
2017,230.602683,16.57484565,14.78557066,3.52523731,2.666860023,-5.656371561
2008,255.1314267,17.70274843,15.38599731,-0.436369232,4.075934856,-3.018262007
2015,251.3401085,17.76315951,17.12113767,-3.07110726,4.641701904,-1.189780063
2018,200.5041064,18.75285629,19.14486626,1.3915225,4.448123464,-5.693765349
1981,323.4551063,18.18838906,16.65497926,-0.050874058,5.945502166,-3.432647951
1956,348.3828338,16.47593645,16.09843426,-0.862520307,5.018548524,-5.423450139
1949,384.0201996,18.17823122,17.21940608,3.740845429,7.961362738,-2.065565884
1933,386.1054035,18.32667569,15.84284068,-1.607166269,6.068982248,-4.151845586
1941,342.9529547,17.2492988,15.9425631,-0.149899398,8.69110055,-1.005026532
1953,422.9622807,19.07747,16.93033062,0.16489091,6.391385352,-1.72352117
1945,394.9686839,15.93574484,14.88896895,2.708457547,2.209698107,-6.468986358
1998,358.4726494,17.97821415,17.38850394,0.418414817,5.435835627,-2.182058935
1960,352.7635358,13.56882137,12.28238712,-4.86442276,4.345614055,-2.649924653
1936,388.4562687,11.71148638,10.32673977,-1.497853935,-1.664459914,-9.339380194
1941,131.2109885,14.6444857,13.60380255,-3.01362259,2.594945485,-4.934096456
1988,445.9463766,14.16698024,9.855252369,0.58816927,1.85275064,-4.176350074
1948,221.8440737,13.09963725,12.42402955,-3.200160217,2.242036775,-6.538494967
1931,273.1967149,15.69776707,14.30424576,-1.549018791,0.84730875,-6.893288904
1981,167.1827553,15.14615108,14.12804292,-2.907371198,0.796733439,-7.748220141
1985,144.2952323,12.32739778,10.27165,-2.232470101,3.871638822,-4.641884985
1989,231.9467386,14.15721049,13.0573356,-0.038744228,1.647674131,-8.015324834
1929,231.4895679,12.0980802,11.19302474,-0.02199023,2.664671654,-5.547209636
1963,249.662702,14.14147124,13.17816853,-1.3617358,0.208087295,-9.426641216
1927,292.5487512,11.83467501,11.09201185,-3.405157134,-0.560575135,-8.694628359
2014,236.3695214,15.49513008,14.56404226,-2.536349777,-1.79173099,-9.323127092
1964,193.1071013,16.34185533,15.10954192,1.752731465,-2.587174513,-12.03805527
1933,359.6573493,17.66964046,15.42566038,-3.043075841,3.366228592,-5.922579996
1976,175.8380724,15.4995249,13.43317237,3.658365504,4.539700475,-2.961723246
1981,216.9065702,17.00162943,15.66520579,-1.065818308,3.960665856,-4.694629766
1967,181.4572265,16.56426581,15.69924858,1.06169312,3.698467224,-4.977467836
1962,190.5328016,15.89283141,15.25303954,1.14817092,2.030598395,-6.074479276
1968,233.0931617,16.38798676,14.94207752,-1.670181037,3.758838869,-2.77904052
1945,238.4506205,14.60404051,13.85768881,2.373160841,-0.089443385,-8.115799745
1947,297.9322714,15.18397082,14.46074553,1.57663275,7.14438842,-2.969021229
1958,229.9183,13.50290406,13.6330384,0.275190726,6.935011469,-2.658733007
1994,184.5296366,16.78888623,16.04174584,-0.563054465,2.92093672,-4.372622981
2009,214.2137073,16.70280567,15.6792832,-1.156209466,1.765830783,-6.642011051
2016,204.8233904,17.42554579,16.111015,2.989057819,8.775337657,2.184820155
1983,374.9101848,16.11199849,14.64615784,1.698072247,7.961436032,0.579224516
1935,248.0414268,14.54791596,14.05507648,2.996945716,2.004513086,-5.458263667
1984,269.7158483,18.04292892,15.68681934,3.316134255,-3.788016599,-10.23159258
1963,139.1016671,15.13902177,14.74942105,0.348846396,2.849049254,-7.302520965
1946,208.5523221,16.31288122,14.7397447,0.922138122,0.110742101,-7.809530095
1953,271.5540354,18.27463482,16.40501008,-0.389565254,4.988282183,-2.404865033
1949,252.524045,17.82153626,16.67326409,3.123357457,6.409103591,-3.035494556
1973,199.0820454,16.80309018,16.33021824,1.134835721,2.139354074,-4.663526894
1937,194.7602561,15.98907398,15.43860201,-1.633132424,6.341568471,-2.763847837
2009,244.1370079,17.50796046,16.05433662,-0.90358853,2.500982545,-5.769068251
