year,Loss,tmin6,dpt6,dpt11,tmax12,dpt12,tmin6_2,dpt6_2,dpt11_2,tmax12_2,dpt12_2,tmin6_dpt6,tmin6_dpt11,tmin6_tmax12,tmin6_dpt12,dpt6_dpt11,dpt6_tmax12,dpt6_dpt12,dpt11_tmax12,dpt11_dpt12,tmax12_dpt12
1942,267.0902278,17.42266167,16.2464046,0.43973755,7.415413646,-1.746871963,303.5491397,263.9456623,0.193369113,54.98835955,3.051561655,283.0556107,7.661398553,129.1962431,-30.43515919,7.144154149,120.4738103,-28.38038869,3.260835827,-0.768165197,-12.95377819
1975,291.5811889,17.17940438,15.76027574,0.178151413,3.094400352,-4.401536032,295.1319348,248.3862915,0.031737926,9.575313539,19.37351944,270.7521501,3.06053517,53.15995496,-75.61576738,2.807715398,48.76860281,-69.36942155,0.551271796,-0.784139865,-13.62011465
1953,328.7104956,19.07476467,17.30982475,-1.487228235,4.918142747,-3.657221056,363.8466471,299.630033,2.211847824,24.18812808,13.37526585,330.1808336,-28.36852859,93.81241549,-69.76063097,-25.74366012,85.13218907,-63.30585556,-7.314400758,5.439122416,-17.98673521
1969,325.1754597,14.71645268,13.89659459,0.623123163,3.261490394,-6.437183449,216.5739796,193.1153413,0.388282477,10.63731959,41.43733076,204.5085768,9.170162551,47.99756907,-94.73250565,8.659289983,45.32360978,-89.45492871,2.032310212,-4.011158114,-20.99481199
1970,313.945595,16.36220917,15.91348831,-0.753817147,1.990706042,-5.592139564,267.7218889,253.2391102,0.568240291,3.962910547,31.27202491,260.3798244,-12.33411383,32.57234866,-91.49975726,-11.99586035,31.67907733,-88.99044759,-1.500628349,4.21545069,-11.13230602
1991,314.3273807,18.62951726,16.37096888,2.370965939,3.654574367,-6.535614235,347.0589132,268.0086222,5.621479485,13.3559138,42.71425343,304.9832473,44.16995088,68.08295623,-121.7553382,38.81500961,59.82892324,-106.9943373,8.664871346,-15.49571874,-23.88488825
1928,224.6567526,14.40448873,13.65921433,1.090063418,3.520020944,-8.113842171,207.4892955,186.5741362,1.188238255,12.39054745,65.83443478,196.7539989,15.70180622,50.70410201,-116.8757481,14.88940987,48.08072054,-110.8287093,3.837046062,-8.844602531,-28.56089438
1933,296.6254739,19.17723742,16.02661993,-3.357018497,3.295667265,-6.691741743,367.7664351,256.8525465,11.26957319,10.86142272,44.77940756,307.3462955,-64.37834075,63.20179361,-128.3291202,-53.80165957,52.81840669,-107.2460016,-11.06361597,22.46430081,-22.05375421
1939,274.2292084,17.89409085,16.79256335,-0.032456365,4.383298997,-5.092205249,320.1984874,281.9901838,0.001053416,19.2133101,25.9305543,300.4876542,-0.580777142,78.43515049,-91.12038337,-0.545025563,73.60682608,-85.51117923,-0.142265952,0.165274472,-22.32065816
1998,309.9546923,17.03532523,15.77749519,-0.796386272,2.737520712,-3.59956171,290.2023059,248.9293545,0.634231094,7.494019647,12.9568445,268.774762,-13.56669916,46.63455566,-61.31970443,-12.56498058,43.19121986,-56.79206757,-2.180123914,2.866641531,-9.853874734
1992,255.0406412,14.64522484,11.24389705,-2.064183058,5.720440882,-3.594857523,214.4826105,126.4252209,4.260851696,32.72344388,12.92300061,164.6694004,-30.23042498,83.77714287,-52.64749668,-23.2094618,64.32004837,-40.42020791,-11.80803715,7.420443994,-20.56416994
1994,269.2770698,17.91005145,15.90262432,-2.051547312,3.631442619,-5.055116818,320.7699428,252.8934601,4.208846373,13.1873755,25.55420604,284.8168196,-36.7433179,65.03932414,-90.53740227,-32.62498617,57.7494677,-80.38962363,-7.450076344,10.37081132,-18.35736666
1996,286.907647,16.66281066,16.14934547,-4.42450948,3.085581241,-6.965275391,277.6492592,260.8013592,19.57628414,9.520811597,48.51506127,269.0934859,-73.72476374,51.41445601,-116.0610651,-71.45293213,49.83011745,-112.4846386,-13.65218345,30.817927,-21.49192309
1997,302.2113746,16.46907597,15.43817519,-3.812269286,3.068920353,-5.533783299,271.2304632,238.3372533,14.53339711,9.418272132,30.6227576,254.2524801,-62.78455249,50.54228243,-91.13629754,-58.85448113,47.37853006,-85.43151605,-11.6995508,21.09627211,-16.98274019
2000,246.9521426,16.0996979,14.9825577,0.479959476,4.934974394,-4.303724466,259.2002726,224.4770352,0.230361099,24.35397227,18.52204428,241.2146528,7.727202569,79.45159691,-69.28866377,7.191020542,73.9385386,-64.48080013,2.368587724,-2.06561334,-21.23877004
1962,281.2206442,18.53407462,18.05112938,3.064725663,7.05998509,-2.378233234,343.5119219,325.843272,9.392543388,49.84338947,5.655993315,334.5609789,56.80185411,130.8502904,-44.07835221,55.32175947,127.4407043,-42.92979581,21.63691748,-7.288632424,-16.79029117
1933,211.6372542,19.0295218,16.65522769,-0.933350914,7.49236945,-2.682745389,362.1227001,277.3966094,0.871143929,56.13559997,7.197122821,316.9410185,-17.76122157,142.5762078,-51.05136187,-15.54517199,124.7871191,-44.68173529,-6.993009874,2.503942861,-20.10011959
1935,295.8056846,17.03161071,16.295236,3.864293145,6.779892389,-2.996977237,290.0757635,265.5347162,14.93276151,45.9669408,8.98187256,277.534116,65.81513654,115.4724878,-51.04334962,62.96956876,110.4799465,-48.83645135,26.19949168,-11.58119859,-20.31918316
1972,245.5781552,16.5735238,14.80602255,1.672348425,12.06854612,2.631374922,274.6816912,219.2183038,2.796749253,145.6498055,6.92413398,245.3879672,27.71670642,200.0183364,43.6111549,24.76082849,178.687166,38.96019644,20.18281409,4.400575705,31.75686961
1979,232.5481101,18.04144731,16.57174625,5.217273698,7.933719427,-1.545798695,325.4938209,274.6227737,27.21994484,62.94390395,2.389493604,298.9782867,94.1271685,143.135781,-27.88844569,86.45933582,131.4755851,-25.61658372,41.39238569,-8.064854871,-12.26393313
1970,413.2219952,18.13834443,17.31024394,0.854115902,5.99500218,-3.37662411,328.9995386,299.6445453,0.729513973,35.94005114,11.40159038,313.9791667,15.49224841,108.7394144,-61.24637111,14.78495461,103.7749502,-58.45018704,5.120426693,-2.884028346,-20.2428689
1983,386.1650553,16.37543706,16.07173663,3.605475757,11.20864191,3.237698562,268.154939,258.3007184,12.99945543,125.6336534,10.48269198,263.1817117,59.04124134,183.5464101,53.01872903,57.94625681,180.1423408,52.03543859,40.41248666,11.67344367,36.29020379
1968,269.8211022,18.74099893,17.25395347,0.046772582,8.829098936,-0.105745443,351.2250409,297.6989104,0.002187674,77.95298802,0.011182099,323.3563236,0.8765649,165.4661337,-1.981775227,0.807011945,152.3368622,-1.824526947,0.41295975,-0.004945987,-0.933636975
1969,253.6379929,18.20028328,17.02973528,2.998792524,7.040229233,-3.758947059,331.2503115,290.0118837,8.992756604,49.56482766,14.12968299,309.9460063,54.57887344,128.1341664,-68.41390131,51.06864285,119.8932402,-64.01387334,21.11218679,-11.27230234,-26.46384897
1974,319.7412988,16.08888537,15.76304759,6.264916996,6.976402191,-1.337296935,258.8522323,248.4736695,39.24918497,48.67018752,1.788363093,253.6098658,100.7955314,112.2425351,-21.51561709,98.75418479,109.9693598,-21.07987524,43.70658066,-8.378054298,-9.329521268
1955,342.624662,15.73229548,14.93128393,1.672229362,8.301640487,-1.571466894,247.5051212,222.9432399,2.796351039,68.91723477,2.469508198,234.9033708,26.30800644,130.6038611,-24.72278152,24.9685314,123.9541512,-23.46401838,13.88224697,-2.627853081,-13.04575319
