year,Loss,pcpn1,pcpn2,pcpn3,pcpn4,pcpn5,pcpn6,pcpn7,pcpn8,pcpn9,pcpn10,pcpn11,pcpn12,dpt1,dpt2,dpt3,dpt4,dpt5,dpt6,dpt7,dpt8,dpt9,dpt10,dpt11,dpt12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,vpdmax1,vpdmax2,vpdmax3,vpdmax4,vpdmax5,vpdmax6,vpdmax7,vpdmax8,vpdmax9,vpdmax10,vpdmax11,vpdmax12,vpdmin1,vpdmin2,vpdmin3,vpdmin4,vpdmin5,vpdmin6,vpdmin7,vpdmin8,vpdmin9,vpdmin10,vpdmin11,vpdmin12
1942,267.0902278,15.27314486,97.87003586,51.36484225,90.99888366,130.0809187,149.2138212,133.5973,73.39051822,92.5381842,29.77016029,54.77886873,39.47356352,-7.974401007,-6.057212233,-0.871013474,4.620369153,9.590164083,16.2464046,17.88643638,16.90870952,12.38290271,5.374492451,0.43973755,-1.746871963,2.907791486,1.81460635,11.57913704,20.21147239,22.74342579,27.57475677,30.87234765,29.05344176,24.81307623,20.06843441,11.84024827,7.415413646,-7.346955986,-5.211864975,1.025249098,7.341560443,11.339295,17.42266167,19.33594867,17.43405485,13.11017698,6.740298783,1.269285631,-1.164382074,3.606478036,2.535203146,7.051451711,14.05043424,14.49395093,17.1646884,22.70151794,19.63473847,15.69065845,13.50090644,6.751886752,4.339658719,0.696767968,0.700830607,1.219106166,2.038689746,1.814710672,1.775481519,2.276899844,1.258414762,1.226864514,1.312048493,0.903693582,0.762197798
1975,291.5811889,52.95068135,78.46978336,57.01680926,95.06840493,138.0416278,113.3980044,24.89223498,106.3181354,111.1580862,45.80142069,100.1702888,55.26759902,-5.29921726,-6.57092268,-4.040125197,3.037876208,11.56666431,15.76027574,16.26090647,17.3961165,10.56177699,5.655302557,0.178151413,-4.401536032,3.730886935,1.284663579,7.004937921,16.33846815,25.04169746,28.37626274,31.07536801,30.97615345,23.69606592,21.49461092,10.88584097,3.094400352,-5.642131009,-6.18179389,-3.191547718,4.384510915,13.16883205,17.17940438,17.93958376,18.99693308,11.55084543,7.582663417,1.623884781,-4.221887836,2.800551017,2.280758727,5.0989051,10.23600935,16.74034415,19.67714297,26.17334399,24.7796792,16.22106152,15.66803445,6.189100198,2.473503817,0.446139347,0.527196559,0.795685236,1.479531691,2.710359369,3.273770351,3.697857447,3.419565585,2.028563042,2.244637861,1.177374147,0.606591031
1953,328.7104956,27.68593939,31.48550056,98.35532695,63.62312811,59.1351976,77.18760355,46.79712593,33.18401965,49.96583594,35.72907885,73.89314797,47.34166893,-4.487844387,-4.369404009,-0.569232728,1.615922377,10.44575061,17.30982475,17.34771685,15.06769555,9.198806288,5.849567527,-1.487228235,-3.657221056,3.150134917,7.936184085,10.87482621,14.77106105,23.3148184,31.82026818,32.59363471,31.69973779,29.04376123,22.98042482,12.94528486,4.918142747,-4.899330758,-3.161977501,-0.239873576,3.438672542,11.41518399,19.07476467,19.00303884,17.33460595,12.90184324,8.115896597,0.844127794,-3.394024442,2.333937599,5.055135601,6.529274933,9.199200597,14.55620673,25.0285706,27.82894653,28.30788493,28.20022067,18.36646949,9.214027818,3.274340798,0.309756779,0.626698147,0.496550889,1.077728677,1.674199731,3.315411252,2.531723374,3.223089504,3.733153238,2.285155269,1.128360493,0.32595758
1969,325.1754597,93.09510904,52.11197063,54.68274275,107.7468888,85.34090861,156.3073514,200.2195679,40.31323592,101.8603248,223.0274582,91.1118597,61.74917229,-9.394614999,-4.985835335,-4.967787112,5.059367852,10.06462522,13.89659459,19.76190834,16.88271053,13.01923131,5.418070339,0.623123163,-6.437183449,-0.922021743,3.190489747,6.945576438,18.58627696,22.93871805,26.38668734,30.8325657,29.54846487,25.60069489,18.13957351,9.653488859,3.261490394,-9.21000463,-3.997464068,-3.990189212,6.604656301,11.28451737,14.71645268,20.50063273,17.34070428,13.59576063,6.692321817,1.294565619,-5.731404429,2.167331145,2.940697817,5.216623851,11.60902847,14.61869192,17.33741036,19.97107379,20.94125512,16.75809249,11.18304245,5.132199984,3.381756493,0.583927832,0.77820249,0.806261093,1.368741937,1.593452452,1.576464675,1.689300534,1.328530129,1.238522847,1.306215053,0.809886191,0.720024721
1970,313.945595,9.970053786,9.225498196,52.2307332,157.064311,172.9489364,128.7131329,66.6351725,270.3862569,266.28706,77.29435785,13.22968546,33.5284088,-11.79650596,-7.65390467,-3.253797807,4.381545297,11.7559266,15.91348831,16.78703514,17.63433745,14.46925256,7.027025368,-0.753817147,-5.592139564,-2.589691879,5.475884642,8.246072443,18.44029123,25.12695117,26.99324896,30.93748238,29.09319193,26.14878056,18.8384075,10.99035365,1.990706042,-12.26569416,-6.615541529,-1.676400921,6.271489159,13.28299972,16.36220917,18.3970261,18.39122827,14.68576836,8.371251662,-0.378200751,-5.574420667,2.152383561,4.931239404,5.489565588,12.03912726,16.89390122,16.25388744,24.44376214,18.77713213,15.86936371,10.66452248,6.579663683,2.60132135,0.48307514,0.754002814,0.907358263,1.542495997,1.994324688,1.319502973,2.537331532,1.539028434,1.06330074,1.399159264,0.712257147,0.542998422
1991,314.3273807,35.81842445,13.06651732,77.69199874,105.3967014,292.5696133,24.75450079,103.2633915,52.16321637,79.00180866,153.4035593,92.12356781,78.18531607,-9.067846578,-4.913903056,-0.53983793,5.381503128,14.58057227,16.37096888,16.31869505,16.07091905,11.39753272,5.512321813,2.370965939,-6.535614235,-1.178802471,6.507895392,13.25602754,19.44939941,25.23947166,30.01881405,30.74187709,29.80253522,25.58978202,19.64831889,14.90391317,3.654574367,-9.754559437,-3.740208143,1.265906101,7.565160225,14.98339646,18.62951726,18.9284756,17.52577402,13.08836253,6.909341967,2.690940513,-6.118467898,1.735927584,4.58064128,8.821494587,12.8868744,13.26500222,22.2866707,25.0484543,22.79351924,18.52499425,12.60155251,8.606304985,3.697260822,0.244258894,0.65137005,1.080024817,1.763530833,1.026024929,3.207374305,3.60575268,2.469331456,1.963812145,1.315340503,0.874721358,0.604591304
1928,224.6567526,11.49062023,47.82025638,30.37077329,77.81319233,64.67574814,150.8974688,77.57985611,76.98022807,103.2251281,111.0810489,81.16969928,57.97258385,-7.007985672,-4.605381663,-1.968965686,1.103496947,8.711271286,13.65921433,17.8505404,17.56243233,9.941123336,8.059275069,1.090063418,-8.113842171,3.599248561,6.312278026,12.68660457,15.83184173,25.13499507,25.01322166,31.07014648,30.4456615,24.20855043,21.02871538,12.87410624,3.520020944,-5.938173398,-3.265730772,0.436302483,3.73641345,11.50321839,14.40448873,19.60055864,18.8949063,11.08083356,9.339148616,2.166027838,-7.573543272,3.73345376,4.612124763,8.516335052,10.3996633,19.37996146,14.96483021,23.39944788,22.22415636,16.84680754,13.10579757,7.439340007,3.982088728,0.819862524,0.925978183,1.418653174,1.688473455,2.530624872,1.247884287,2.571262236,2.058039164,1.414150101,1.369479436,1.024404983,0.706836677
1933,296.6254739,54.28017329,17.07172996,70.35169648,61.17266823,186.6901123,85.98581753,46.44402699,78.42516914,59.41078889,43.3082688,35.23477926,103.3738283,-2.295462811,-8.165848008,-1.642970185,3.243280069,11.67893272,16.02661993,17.54913963,16.11354387,14.73491825,4.86440511,-3.357018497,-6.691741743,9.599070852,4.239563649,10.69713828,17.37086687,23.13705876,33.13254687,32.22657204,29.7621138,30.55679094,18.74798872,8.593147451,3.295667265,-1.334784379,-7.497649811,-0.22304654,5.617348153,12.92391145,19.17723742,19.68112932,17.30471506,16.59664238,6.003468286,-2.943702837,-6.858580482,6.075017421,4.364595944,6.685907124,11.12437641,13.54410927,31.25727343,26.77299729,22.38417043,25.7902363,12.01975629,5.698657277,3.497153787,0.884519959,0.734499541,1.073859589,1.731936892,1.538845295,4.132706906,3.056858426,1.824490085,2.415735759,1.190043148,0.768326512,0.61127275
1939,274.2292084,39.21639229,45.64308374,96.49848563,126.3530495,80.39375527,145.3400907,88.85124214,191.3598152,5.975959229,39.39759898,106.7378659,53.49975748,-3.656582451,-7.776101073,-1.411696737,2.606739491,10.68152348,16.79256335,17.79819045,16.28951445,12.75544166,5.611372772,-0.032456365,-5.092205249,6.695489496,4.743811535,12.88467538,15.94378814,25.47568261,28.64386415,31.42035099,29.00641666,29.74306257,22.16372377,13.17445227,4.383298997,-3.146563695,-7.278686612,0.207823207,4.431788985,12.95988451,17.89409085,19.37518941,16.59390094,14.78032584,7.067393896,0.988126766,-4.729301891,4.557411653,4.584716134,8.461317737,9.8005052,18.43058345,18.81334151,24.17865482,20.27275528,25.75890402,16.41065022,8.208366128,3.577010241,0.758869512,0.652148616,1.114950633,1.428406743,2.284559514,1.74522514,2.429577966,0.964481379,2.450314623,1.418491479,0.997005037,0.702317796
1998,309.9546923,49.52451109,86.75685045,113.2354593,123.7984293,118.5853428,221.3639292,80.10002898,35.91393368,111.9523881,113.7814998,50.75030678,50.03282082,-4.134827521,0.209627733,-1.252598693,4.351388207,13.75057322,15.77749519,18.37264213,18.75995694,15.35620079,8.117737539,-0.796386272,-3.59956171,2.987499305,7.8278033,7.825816044,16.24094242,24.72096231,27.17372969,29.58095942,30.14740309,27.65624849,19.32206941,7.971453327,2.737520712,-4.735880358,0.354107835,-0.68784073,6.107158052,14.48202286,17.03532523,19.80595722,19.00180798,16.16522409,7.812633099,-0.2095135,-3.245813381,2.418944739,3.948411456,5.375646716,9.701866943,14.37315268,16.76882031,19.35592876,20.23978928,18.41254528,10.28760117,4.51687783,2.245215466,0.23172841,0.2306263,0.690374339,1.152045093,1.278883592,2.019721288,2.282770816,1.21095542,1.489257572,0.691028374,0.480297346,0.275801863
1992,255.0406412,13.79010035,39.64480533,49.63390995,87.41014849,18.21178965,23.15082617,208.8083338,40.12688035,96.97910829,34.37864233,82.54614009,57.18538951,-4.234192435,-1.996289474,-0.348237421,3.438668534,6.270154722,11.24389705,17.99420778,14.11548384,11.32618403,3.935231508,-2.064183058,-3.594857523,4.575604863,7.17861365,12.4329412,16.59198988,22.91027046,27.36887817,28.43316497,26.45894898,24.66434542,19.15166669,7.303377109,5.720440882,-3.918188413,-1.937369003,0.832901086,4.778577175,9.984550852,14.64522484,18.27393098,14.51542733,11.8249747,5.810834788,-2.423823387,-3.842099552,2.936305292,4.209073649,8.090156463,9.945654558,17.69516927,22.83508567,15.66169583,16.92080307,16.49087153,14.04345388,3.865070509,3.471485562,0.386257664,0.348882096,0.751223738,1.223209956,2.983065781,3.322714263,0.964836307,1.335013334,1.503546893,1.620771885,0.395122409,0.372004673
1994,269.2770698,15.57397991,46.62405626,24.846011,174.9421527,80.38133344,105.5422999,48.69402058,83.49268694,42.265494,66.07401218,65.50123469,20.89570759,-10.18489316,-8.798146799,-2.41920296,2.204082997,7.363021933,15.90262432,16.62351307,15.3787484,11.31299855,6.263744102,-2.051547312,-5.055116818,-2.445721453,2.616516588,11.33719441,17.89101057,22.42026681,29.02827284,29.14922656,28.89596863,24.86049722,20.25689684,8.117925276,3.631442619,-10.59134412,-8.200855553,-0.889151112,5.288791795,9.794372192,17.91005145,17.68730943,16.20099233,12.61662012,8.309629242,-0.424928711,-4.1647105,1.521145118,4.157717836,8.197588007,12.77486303,16.57704515,20.75359054,19.82229666,21.10728479,17.82499874,13.60624548,4.878883785,2.975815618,0.280613776,0.611931001,0.890436019,2.025143685,2.366884241,2.863226216,2.280808416,2.316162595,1.980598682,1.812067459,0.849608149,0.506121266
1996,286.907647,60.83471553,17.259849,45.04843694,52.01592646,245.0028027,71.98351657,66.97218621,81.43743262,65.9497276,36.20644994,45.80155678,12.14615934,-8.502893048,-7.324925214,-6.302318606,0.441369291,10.58511832,16.14934547,15.87466082,17.27068316,11.38209008,6.369931926,-4.42450948,-6.965275391,0.75829307,4.220998045,6.857416961,15.83085193,21.60961017,27.19103159,28.7372462,28.82038012,23.74341696,19.40884649,8.175476728,3.085581241,-9.186883626,-7.404147994,-4.926390407,3.109132807,11.5890771,16.66281066,17.29142371,17.59952048,11.51539402,6.626994408,-2.883053469,-6.214868744,2.37246524,4.685990019,6.001244916,11.67210318,11.81982067,16.665233,19.96942197,18.36299579,15.45019153,11.58636169,5.406025079,3.870681068,0.283667604,0.540889023,0.702685953,1.633436079,1.360157007,1.639899422,2.05564922,1.109969104,0.703291295,0.940792517,0.825250191,0.540574858
1997,302.2113746,40.58405822,119.8641736,56.6597723,82.68183921,98.11544139,53.82129672,48.9946109,94.81507974,34.70155454,52.77765345,42.8728177,14.36999118,-10.27192506,-3.865121532,-0.93998306,0.528071058,5.433367639,15.43817519,17.67092382,16.92427743,13.37422867,6.354836126,-3.812269286,-5.533783299,-1.028141986,4.175563,11.92440257,14.27344734,20.24945694,27.04027748,30.41519679,28.00897461,26.00454753,19.56327576,5.709793209,3.068920353,-12.08354594,-3.214543821,0.042738796,2.982672403,8.430967299,16.46907597,18.65900066,16.94895855,13.23900189,6.894746943,-2.685263105,-5.98494884,2.266973121,3.230944761,7.911115487,9.973126027,13.94040573,17.49411662,22.19821446,17.04281672,17.07306663,13.5023601,4.176027339,2.693254729,0.155945878,0.445194427,0.700826859,1.15451906,1.750320819,1.488841371,1.754368636,1.143974984,0.88755778,1.061266999,0.531697001,0.304190506
2000,246.9521426,17.25835232,58.87504103,59.94451513,39.27958298,78.42014788,190.6393282,88.72014899,75.49481431,61.83382108,63.45391892,7.664284812,70.96897532,-7.255352581,-2.34864893,0.270325986,2.268834491,11.29857122,14.9825577,18.0036968,18.76139513,12.27863076,7.853292051,0.479959476,-4.303724466,2.954101257,8.395468875,13.61203511,17.77647858,24.3945691,26.27719615,28.4643557,29.85905717,26.63625573,20.30932571,16.85482481,4.934974394,-6.923537298,-1.417031506,1.808735547,5.106887847,12.61846978,16.0996979,18.51377612,19.28245198,13.05412312,8.475952996,2.814484714,-4.056732309,3.726731122,5.974661919,9.319827978,12.4354681,15.95053829,15.15865433,15.8743585,17.85905894,19.97303891,12.38799157,12.60874511,3.550677177,0.463079778,0.82247923,1.134235154,1.726665486,1.658488344,1.683061309,1.358810541,1.552405893,1.13699228,0.978745587,1.379535196,0.537580778
