,train,valid,test
U with insurance,-3.562093734741211,-3.0555179119110107,-2.91261625289917
U w/o insurance,-3.877976767634665,-3.2068367895647683,-3.1224997992207997
U improvement,0.08145562797843267,0.04718633581420728,0.06721651235141948
CEW with insurance,444.74565469767543,463.92057872251223,469.9077505060697
CEW w/o insurance,434.12502141385716,457.87858872765304,461.20997982318653
CEW improvement,10.620633283818279,6.041989994859193,8.697770682883174
CEW improvement (%),0.02446445784034523,0.013195615920038093,0.01885859166841452
Premium,35.00495910644531,31.20598602294922,35.22069549560547
Coverage,28.166204623789277,25.10941907221534,28.339793607664525
Insurer Profit,6.838754482656036,6.09656695073388,6.880901887940944
Std,55.701344804627674,47.85994167425118,38.69001615876278
Std w/o insurance,80.25718146352536,69.81400613521612,68.36552178016514
Std reduction,0.30596435373272635,0.31446504328148983,0.43407122257950936
VaR5%,362.41588274517756,378.4947149913794,408.99769570062506
VaR5% w/o insurance,320.59300360500004,351.73089557000003,345.526120895
VaR5% improvement,41.82287914017752,26.763819421379367,63.47157480562504
