,train,valid,test
U with insurance,-3.5510542392730713,-3.050528049468994,-2.903167963027954
U w/o insurance,-3.877976767634665,-3.2068367895647683,-3.1224997992207997
U improvement,0.08430234319350939,0.04874234342215723,0.07024238600354064
CEW with insurance,445.13365113652117,464.1248788368722,470.313899437699
CEW w/o insurance,434.12502141385716,457.87858872765304,461.20997982318653
CEW improvement,11.008629722664011,6.24629010921916,9.10391961451245
CEW improvement (%),0.025358201392794953,0.013641804318861618,0.019739207763896625
Premium,37.28807830810547,36.67966842651367,37.03972625732422
Coverage,30.003281548202022,29.513733848176436,29.803448871358402
Insurer Profit,7.284796759903447,7.165934578337236,7.236277385965817
Std,54.194886631777116,44.91960805086889,36.74265341883535
Std w/o insurance,80.25718146352536,69.81400613521612,68.36552178016514
Std reduction,0.32473473845568357,0.3565817156536131,0.4625557962245308
VaR5%,363.79167266245116,386.38631920934085,413.7522528054199
VaR5% w/o insurance,320.59300360500004,351.73089557000003,345.526120895
VaR5% improvement,43.19866905745113,34.655423639340825,68.2261319104199
