,train,valid,test
U with insurance,-3.4691884517669678,-3.0822908878326416,-2.923896074295044
U w/o insurance,-3.877976767634665,-3.2068367895647683,-3.1224997992207997
U improvement,0.10541278103556917,0.03883761784740845,0.0636040793262232
CEW with insurance,448.0491307835211,462.83007775552363,469.424592294146
CEW w/o insurance,434.12502141385716,457.87858872765304,461.20997982318653
CEW improvement,13.924109369663938,4.951489027870593,8.21461247095948
CEW improvement (%),0.03207396183780409,0.010813978093253336,0.017811003296391605
Premium,32.58364486694336,15.989198684692383,17.925113677978516
Coverage,26.217931177134986,12.865464020512057,14.42316839232259
Insurer Profit,6.3657136898083735,3.1237346641803256,3.5019452856559248
Std,50.41996965768475,55.086463345424285,48.17437951139793
Std w/o insurance,80.25718146352536,69.81400613521612,68.36552178016514
Std reduction,0.37176999318622694,0.21095398481026073,0.29534101024919346
VaR5%,385.7813966342676,355.7099694730678,392.93799075815923
VaR5% w/o insurance,320.59300360500004,351.73089557000003,345.526120895
VaR5% improvement,65.18839302926756,3.9790739030677855,47.41186986315921
