,train,valid,test
U with insurance,-3.4825170040130615,-3.1569697856903076,-2.998934030532837
U w/o insurance,-3.877976767634665,-3.2068367895647683,-3.1224997992207997
U improvement,0.10197579493566962,0.015550215725580654,0.039572706688018947
CEW with insurance,447.56980349242957,459.8376372935805,466.25710436651786
CEW w/o insurance,434.12502141385716,457.87858872765304,461.20997982318653
CEW improvement,13.444782078572416,1.9590485659274464,5.047124543331336
CEW improvement (%),0.030969839137088867,0.00427853281231434,0.010943224917349458
Premium,31.351898193359375,16.605003356933594,16.769527435302734
Coverage,25.226825067073847,13.360961825662693,13.493343607420933
Insurer Profit,6.125073126285528,3.2440415312709003,3.276183827881802
Std,51.848503769640374,59.37980842619782,53.489687332739194
Std w/o insurance,80.25718146352536,69.81400613521612,68.36552178016514
Std reduction,0.3539705379112513,0.14945708299290683,0.21759264114534793
VaR5%,385.426448808114,344.35417287306643,359.1532098796973
VaR5% w/o insurance,320.59300360500004,351.73089557000003,345.526120895
VaR5% improvement,64.83344520311397,-7.376722696933598,13.627088984697252
